"Tabela 9514 - População residente, por sexo, idade e forma de declaração da idade"
"Variável - População residente (Pessoas)"
"Unidade da Federação";"Forma de declaração da idade";"Ano x Sexo x Idade"
"Unidade da Federação";"Forma de declaração da idade";"2022"
"Unidade da Federação";"Forma de declaração da idade";"Total"
"Unidade da Federação";"Forma de declaração da idade";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais"
"Rondônia";"Total";"113450";"117536";"117166";"122058";"124515";"126056";"125234";"127989";"123968";"106731";"95902";"84545";"67775";"50232";"34028";"21246";"13194";"6353";"2451";"620";"147"
"Acre";"Total";"71001";"74586";"75573";"78689";"77247";"68848";"62782";"63093";"60238";"47828";"39626";"32091";"25846";"19692";"13779";"8969";"5567";"2742";"1265";"414";"142"
"Amazonas";"Total";"351726";"367770";"355930";"367978";"362878";"332163";"297067";"299347";"282716";"227948";"186857";"152251";"123374";"92365";"60937";"37869";"22925";"11919";"5087";"1775";"731"
"Roraima";"Total";"64752";"63243";"58213";"56875";"58711";"55700";"49731";"48943";"43780";"34444";"28387";"23468";"18085";"13382";"8730";"5049";"2947";"1424";"595";"175";"73"
"Pará";"Total";"632124";"669700";"689373";"726859";"707968";"666047";"640610";"650761";"604678";"490245";"419386";"346852";"287329";"220103";"154257";"101330";"62187";"32051";"13364";"4136";"1665"
"Amapá";"Total";"65666";"67164";"65346";"67628";"69388";"63419";"58363";"57113";"51813";"42730";"35597";"27616";"21763";"15716";"10198";"6662";"4023";"2213";"903";"275";"163"
"Tocantins";"Total";"114383";"117486";"119117";"125373";"123471";"117576";"114944";"119568";"115430";"98244";"83817";"73130";"58457";"45929";"34053";"23007";"15028";"7749";"3327";"1049";"322"
"Maranhão";"Total";"517020";"547003";"581302";"612833";"572368";"517985";"522977";"544913";"495953";"396448";"343219";"301913";"249437";"198149";"149266";"99496";"67287";"35677";"14994";"5095";"2470"
"Piauí";"Total";"216538";"226124";"239272";"257358";"258937";"242215";"246025";"263825";"250795";"213085";"187478";"175648";"145145";"113992";"93426";"62951";"41416";"22528";"10491";"3236";"714"
"Ceará";"Total";"574335";"609895";"618205";"648812";"701679";"719689";"699417";"702201";"665907";"566682";"517683";"479919";"377974";"294923";"240089";"161761";"114462";"61360";"28425";"9540";"1999"
"Rio Grande do Norte";"Total";"204705";"220287";"229666";"243526";"255391";"256511";"255698";"270157";"256496";"219332";"202253";"190816";"150600";"113349";"90552";"61387";"43434";"23049";"10573";"3971";"976"
"Paraíba";"Total";"264885";"276601";"285435";"296275";"301247";"296144";"296272";"312802";"305665";"265168";"238037";"220828";"176691";"140713";"114396";"78868";"55786";"29470";"13604";"4470";"1330"
"Pernambuco";"Total";"593211";"645069";"656399";"685570";"712918";"680743";"685702";"709666";"701681";"613232";"550496";"492085";"408759";"316181";"244559";"164298";"108159";"55895";"24463";"7704";"2141"
"Alagoas";"Total";"228824";"235921";"246946";"258193";"258640";"242922";"228143";"240379";"232059";"205354";"181475";"159606";"129341";"100831";"75283";"48936";"30513";"15155";"6351";"1991";"820"
"Sergipe";"Total";"148010";"156741";"164750";"172544";"178868";"175310";"169665";"177339";"174285";"146857";"133719";"117307";"92617";"70472";"53018";"35714";"22684";"12085";"5584";"1904";"531"
"Bahia";"Total";"887805";"965550";"1009716";"1068959";"1084267";"1021456";"1021203";"1160892";"1170001";"956055";"862361";"774082";"653255";"500498";"392325";"268296";"180081";"96021";"47354";"16113";"5336"
"Minas Gerais";"Total";"1187024";"1257588";"1263307";"1363591";"1526557";"1536109";"1540840";"1585459";"1630697";"1392883";"1332936";"1263062";"1116844";"896366";"658397";"441366";"289945";"161822";"71046";"20046";"4104"
"Espírito Santo";"Total";"240565";"254280";"246651";"256029";"276033";"279424";"291550";"313839";"315396";"260955";"242363";"225229";"200415";"161788";"111235";"70070";"45991";"26189";"11719";"3313";"678"
"Rio de Janeiro";"Total";"875769";"1015741";"964636";"1011978";"1149011";"1160926";"1162332";"1214564";"1293041";"1108422";"1062750";"1010375";"922438";"755817";"559632";"353656";"229376";"128213";"57985";"15800";"2712"
"São Paulo";"Total";"2467570";"2775377";"2732216";"2857669";"3210836";"3306143";"3403266";"3636679";"3667352";"3126245";"2910040";"2667277";"2365382";"1900681";"1403952";"913197";"577843";"313739";"135807";"34872";"5095"
"Paraná";"Total";"698133";"759916";"737248";"761026";"846638";"889031";"874321";"873773";"873530";"779549";"756703";"701392";"594250";"475050";"345043";"229624";"139580";"72310";"28812";"7152";"1299"
"Santa Catarina";"Total";"468406";"489625";"465179";"480629";"574485";"623099";"636989";"635482";"607079";"507447";"479892";"457656";"389954";"298650";"217685";"135349";"80253";"41661";"16316";"3858";"667"
"Rio Grande do Sul";"Total";"609791";"665885";"630834";"669068";"755646";"783222";"791218";"824404";"822613";"709682";"704422";"722764";"661516";"542966";"410542";"271574";"167840";"91204";"37178";"9060";"1536"
"Mato Grosso do Sul";"Total";"199203";"208196";"199393";"198275";"206935";"216631";"212454";"216005";"211121";"180445";"166748";"150516";"126645";"98318";"68719";"45514";"28242";"15129";"6336";"1720";"468"
"Mato Grosso";"Total";"281538";"283473";"264675";"270800";"289545";"303722";"299667";"304195";"288416";"242294";"215267";"184578";"148439";"109968";"74788";"47331";"28512";"13980";"5513";"1456";"492"
"Goiás";"Total";"461578";"494072";"475639";"508801";"554318";"564470";"563473";"580094";"574101";"491737";"441531";"382264";"315544";"240152";"173459";"111463";"70254";"34864";"14065";"3713";"903"
"Distrito Federal";"Total";"166848";"184611";"182774";"208546";"227966";"224162";"223174";"239309";"253359";"210070";"179636";"151836";"116514";"89949";"66188";"42396";"27501";"14401";"6121";"1720";"300"